Game	Pack	Players	Time	Category	Description
Joke Boat	6	3-8	15m	Speaking	Ahoy there, you must be the comedians. The cruise ship’s talent show is tonight so grab your ventriloquist dummy and follow me! We’ve got some jokes to write!
Trivia Murder Party 2	6	1-8	15m	Trivia	The game show-loving serial killer from Trivia Murder Party is back, with more trivia and dastardly new mini-games. Can you and your friends survive a night in the Murder Hotel?
dictionarium	6	3-8	10m	Writing	Humans have been inventing words and phrases for centuries. Now it’s your turn to contribute an entry to the pages of the Dictionarium.
The Devils and the Details	7	3-8	15m	Puzzle	Congratulations, demons! You’ll be moving to an average suburban neighborhood, where you’ll take part in the pointless and highly stressful rituals of mortal life.
Champ’d Up	7	3-8	20m	Drawing	Enter the Scrawliseum, where player-created characters fight over unusual titles. Heavy favorites are pitted against underdogs to create hilarious, high-octane matches.
Talking Points	7	3-8	20m	Speaking	Public speaking is fun, actually. Players are given picture slides they’ve never seen and words they didn’t write. Giving a speech has never been this weird or this funny.
Quiplash 3	7	3-8	15m	Writing	Quiplash 3 has the same classic Quiplash style with an all new final round! Each player answers a series of prompts before entering into a head-to-head battle of the wits!
Blather ‘Round	7	2-6	15m	Trivia	Blather ‘Round is a guessing game full of blundering, stumbling, and–yes!– blathering. Describe pop culture items to your friends, but you’ll never get quiiiiite the right words.
Job Job	8	3-10	20m	Writing	Welcome to Job Job, a game where everybody interviews for a job! Funny and unique answers get votes, and the player with the most points in the end SCORES THE JOB (JOB)!
Weapons Drawn	8	4-8	20m	Drawing	THERE’S BEEN A MURDER! Several in fact... Weapons Drawn is a social deduction game where everyone did it. Commit one yourself before solving others.
Drawful: Animate	8	3-10	15m	Drawing	It’s alive! The classic guessing game makes an energetic return in Drawful: Animate, which has players drawing two-frame animations based on absurd prompts.
The Poll Mine	8	2-10	15m	Voting	A survey game of survival! Players divide into two teams, secretly answer survey questions, then try to guess the results. Can you open the correct doors and escape?!
The Wheel of Enormous Proportions	8	3-8	15m	Trivia	The Wheel of Enormous Proportions is a hybrid game of trivia and chance hosted by an immortal, all-knowing wheel from a mountaintop in the sky.
Junktopia	9	3-8	20m	Writing	A strange wizard has turned you into a frog! Create hilarious backstories for weird objects and then get them appraised. The player with the best items becomes human again!
Quixort	9	1-10	20m	Trivia	In this trivia sorting factory, work with your team to sort falling answers into their proper order before they hit the floor. It’s as easy as A, C, B!
Roomerang	9	4-9	30m	Writing	Channel your inner reality TV star in an attempt to come out on top! Respond to prompts, bring the competition and role-play to avoid being voted out.
Nonsensory	9	3-8	25m	Writing	Professor Nanners is here to test your NSP (Nonsensory Perception). How close can you get to guessing where another player’s prompt ranks on the silliest of scales?
Fibbage 4	9	3-8	20m	Deception	The hilarious bluffing party game returns with an all-new Final Fibbage, video questions, and a fresh game mode! It’s a game so beloved that we decided to slap a 4 on it.
Fixy Text	10	3-8	15m	Writing	FixyText is the Wild West of text-editing. In this chaotic game, everyone’s in group chat, typing all at once to make the most memorable statement. And there’s no delete key. Take that auto-correct!
Tee K.O. 2	10	3-8	20m	Drawing	In Tee K.O. 2, return to T-Shirt Island, where the most hardened warriors in the world compete in a deadly fighting tournament. The drawing finger – not the fist – decides the victory!
DodoReMi	10	1-9	5m	Musical	In Dodo Re Mi, your phone is your instrument. You and your flock must make music together to escape the hungry jungle plant.
Time Jinx	10	1-8	20m	Trivia	In Timejinx, you’re a time traveler from the future competing in a high-stakes trivia night. Save your current timeline by answering questions about the past.
Hypnotorious	10	4-8	20m	Deception	Hypnotorious is a game with secret roles, tentative alliances and of course, silly answers to ridiculous questions. Who is on your side?
